Tapa,m,b,r,dm,db,m/g
1,0.0067,-3.2829,0.4797,0.0009,0.0093,0.000683209862695212
1,0.0075,-2.7866,0.593,0.0008,0.0076,0.000764787159733446
1,0.0078,-2.3449,0.4831,0.0011,0.0102,0.000795378646122784
1,0.0079,-1.9658,0.6033,0.0008,0.0076,0.000805575808252563
2,0.0516,-6.8923,0.9692,0.0011,0.0095,0.00526173565896611
2,0.0516,-4.7969,0.9698,0.001,0.0093,0.00526173565896611
2,0.0505,-2.7434,0.9645,0.0011,0.0099,0.00514956687553854
2,0.0489,-0.6905,0.9713,0.001,0.0086,0.00498641228146207
3,0.0286,-5.845,0.9152,0.001,0.0085,0.00291638836911687
3,0.0277,-4.8083,0.8855,0.0012,0.0105,0.00282461390994886
3,0.0257,-3.8737,0.909,0.001,0.0084,0.00262067066735328
3,0.0243,-2.9304,0.8791,0.0011,0.0094,0.00247791039753637
4,0.109,-11.465,0.993,0.001,0.008,0.0111149067214594
4,0.112,-7.2752,0.9935,0.001,0.0094,0.0114208215853528
4,0.111,-3.1926,0.9912,0.0012,0.0106,0.011318849964055
4,0.116,-6.3117,0.995,0.0009,0.0083,0.011828708070544
